symbol,address,city,zip,country,phone,website,industry,industryKey,sector,sectorKey,longBusinessSummary,fullTimeEmployees,auditRisk,boardRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,irWebsite,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,regularMarketVolume,averageVolume,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,allTimeHigh,allTimeLow,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,fitytwoWeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,quoteType,currentPrice,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,region,typeDisp,quoteSourceName,customPriceAlertConfidence,shortName,longName,postMarketChangePercent,fullExchangeName,averageDailyVolume3Month,exchange,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,market,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekChangePercent,epsTrailingTwelveMonths,epsForward,epsCurrentYear,priceEpsCurrentYear,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,sourceInterval,averageAnalystRating,cryptoTradeable,displayName,trailingPegRatio
CPRT,14185 Dallas Parkway,Dallas,75254,United States,972 391 5000,https://www.copart.com,Specialty Business Services,specialty-business-services,Industrials,industrials,"Copart, Inc. provides online auctions and vehicle remarketing services in the United States, the United Kingdom, Germany, Brazil, Canada, the United Arab Emirates, Spain, Finland, Oman, the Republic of Ireland, and Bahrain. It offers a range of services to process and sell vehicles over the internet through its virtual bidding third generation internet auction-style sales technology. The company's services include online seller access, salvage estimation, estimating, end-of-life vehicle processing, transportation, vehicle inspection stations, on-demand reporting, title processing and express, loan payoff, flexible vehicle processing programs, buy it now, sales process, and dealer services. Its services also comprise services to sell vehicles through BluCar, CashForCars.com, CashForCars.ca, CashForCars.de, CashForCars.co.uk, and Cash-for-cars.ie; Copart Recycling service, which allows the public to purchase parts from salvaged and end-of-life vehicles; and copart 360, a proprietary technology that captures clear 360-degree views of interiors and exteriors of cars, trucks, and vans. In addition, it provides IntelliSeller, an automated tool leveraging its vehicle and sales data to assist its sellers in making vital auction decisions; Purple Wave Inc., that offers wholesale construction, agriculture, and fleet remarketing services through no-reserve online auctions; wholesale powersport vehicle remarketing services through live and online auction platforms. The company sells its products to licensed vehicle dismantlers, rebuilders, repair licensees, used vehicle dealers, and exporters, as well as to the public. Copart, Inc. was incorporated in 1982 and is headquartered in Dallas, Texas",13800.0,10.0,9.0,2.0,7.0,1775001600.0,,,,,0.0,,1.142,20.996855,19.87285,5702761.0,9105755.0,7015410.0,32317267968.0,32.2,63.85,64.38,0.106771,7.0049095,35.5044,41.6316,0.0,0.0,USD,27061774336.0,0.33758,882929936.0,963308388.0,31757653.0,31738676.0,1772150400.0,1774915200.0,0.033,0.08656,0.86546,3.74,0.040700004,968017684.0,10.162,3.2852783,1753920000.0,1785456000.0,1769817600.0,-0.095,1557409024.0,1.59,1.67993,2:1,1692662400.0,5.866,13.921,,0.36506534,,,EQUITY,33.385,buy,9.0,5101820928.0,5.296,1943943040.0,96136000.0,9.716,10.061,4613516800.0,0.98,4.771,0.109919995,0.17129,2184211968.0,1035371520.0,1802102016.0,-0.1,-0.036,0.47344002,0.42136002,0.34654,USD,US,Equity,Nasdaq Real Time Price,HIGH,"Copart, Inc.","Copart, Inc.",,NasdaqGS,9105755.0,NMS,America/New_York,EDT,-14400000.0,us_market,1.1849976,0.036801167,32.2 - 63.85,-30.465,-0.47713393,-43.35093,1.59,1.67993,1.57435,21.205576,-2.1194,-0.059694014,-8.246601,-0.19808514,15.0,2.3 - Buy,False,Copart,4.0461
CRM,Salesforce Tower,San Francisco,94105,United States,415 901 7000,https://www.salesforce.com,Software - Application,software-application,Technology,technology,"Salesforce, Inc. provides customer relationship management technology services that connect companies and customers together in the United States, Europe, and the Asia Pacific. The company offers Agentforce, which enables customers to build, deploy, and manage enterprise-grade, autonomous AI agents at scale, enabling humans and agents to work together; Agentforce Sales, an integrated platform that brings together the power of humans with AI agents to help sales teams for selling, managing, and automating entire sales processes; Agentforce Service, which enables companies in every industry to bring all of their customer, employee, IT, and field service needs onto one integrated AI-powered platform; Data 360, a data engine that gives AI agents their context and serves as the foundation for how customers unify service offerings, making their data actionable for both humans and agents; Informatica, an AI-powered data management platform that enables customers to discover, integrate, govern, and deliver trusted data at scale across hybrid and multi-cloud environments; and Slack, a conversational interface for the agentic enterprise where people and agents work together, connecting knowledge, actions, and data in real time. It also provides marketing platforms; commerce services, which empower shopping experiences across various customer touchpoints; integration and analytics solutions; Salesforce Starter, a suite for small and medium-sized businesses that brings sales, service, marketing, and commerce together; and a field service solution that enables companies to connect service agents, dispatchers, and mobile employees through one centralized platform to schedule and dispatch work, as well as track and manage jobs. It serves financial services, healthcare and life sciences, manufacturing, automotive, and government sectors. Salesforce, Inc. was incorporated in 1999 and is headquartered in San Francisco, California.",83334.0,2.0,8.0,2.0,6.0,1775001600.0,http://www.salesforce.com/company/investor/,1.76,0.97,1775692800.0,0.2133,,1.288,23.594353,12.291594,7941467.0,13825191.0,14251280.0,172220596224.0,163.52,296.05,369.0,2.25,4.1473956,188.3548,233.20364,1.664,0.009182209,USD,175412051968.0,0.17958,897682110.0,923000000.0,77814603.0,21903394.0,1772150400.0,1774915200.0,0.084300004,0.02684,0.84946996,5.94,0.086899996,937000000.0,63.662,2.8871226,1769817600.0,1801353600.0,1769817600.0,0.138,7456999936.0,7.79,14.95331,4:1,1366243200.0,4.224,13.979,,0.36506534,0.44,1775692800.0,EQUITY,183.8,buy,52.0,9564999680.0,10.363,12547999744.0,17710999552.0,0.644,0.76,41524998144.0,29.947,43.711,0.05179,0.123959996,32255000576.0,16366999552.0,14995999744.0,0.179,0.121,0.77676004,0.30218,0.19239001,USD,US,Equity,Nasdaq Real Time Price,HIGH,"Salesforce, Inc.","Salesforce, Inc.",,NYSE,13825191.0,NYQ,America/New_York,EDT,-14400000.0,us_market,20.279999,0.124021515,163.52 - 296.05,-112.249985,-0.37915888,-23.296368,7.79,14.95331,13.20165,13.9225025,-4.5547943,-0.024181992,-49.40364,-0.21184763,15.0,1.6 - Buy,False,Salesforce,0.9832
CSCO,170 West Tasman Drive,San Jose,95134-1706,United States,(408) 526-4000,https://www.cisco.com,Communication Equipment,communication-equipment,Technology,technology,"Cisco Systems, Inc. designs, develops, and sells technologies that help to power, secure, and draw insights from the internet in the Americas, Europe, the Middle East, Africa, the Asia Pacific, Japan, and China. The company offers data center switching; network security, identity and access management, and secure access service edge; threat intelligence, detection, and response solutions; interconnects public and private wireline and mobile networks, delivering connectivity to campus, data center, and branch networks; WEBEX suite, collaboration devices, and contact center; communication platform as a service software, including perpetual licenses, subscription arrangements, and hardware solutions; network assurance, monitoring and analytics, and observability suite; issue resolution, software support, and hardware replacement; professional services, such as planning, design, implementation, and high-value consulting; service and support packages, financing, and managed network services; and regional, national, and international wireline carriers, webscale products, internet, and cable. It also delivers connectivity to campus, data center, and branch networks; wireless products, including indoor and outdoor wireless coverage designed for seamless roaming use of voice, video, and data applications; end-to-end collaboration solutions through cloud, on-premise, or within hybrid cloud environments, transition collaboration solutions from on-premise to the cloud; and network assurance, monitoring and analytics, and observability suite. In addition, it offers technical support and advisory services. The company serves businesses, public institutions, governments, and service providers. It sells its products and services directly, through systems integrators, service providers, resellers, and distributors. Cisco Systems, Inc. was incorporated in 1984 and is headquartered in San Jose, California.",86200.0,6.0,6.0,1.0,3.0,1775001600.0,,1.68,1.99,1775088000.0,0.5899,2.83,0.819,30.760792,18.935797,6370203.0,23853078.0,16477460.0,337877860352.0,53.83,88.19,88.19,0.068576,5.721507,79.9852,73.9274,1.64,0.019408284,USD,349728964608.0,0.18756,3943336220.0,3949893042.0,56186651.0,59534589.0,1772150400.0,1774915200.0,0.014199999,0.00061,0.81847,2.47,0.014199999,3951094563.0,12.085,7.0761275,1753488000.0,1785024000.0,1769212800.0,0.308,11075999744.0,2.78,4.51605,2:1,953769600.0,5.922,21.468,,0.36506534,0.42,1775088000.0,EQUITY,85.515,buy,22.0,15777000448.0,3.994,16291000320.0,31740000256.0,0.737,0.955,59053998080.0,66.509,14.911,0.06994,0.23754999,38274998272.0,10129500160.0,13324999680.0,0.312,0.097,0.64814,0.27587,0.24868,USD,US,Equity,Nasdaq Real Time Price,HIGH,"Cisco Systems, Inc.","Cisco Systems, Inc.",,NasdaqGS,23853078.0,NMS,America/New_York,EDT,-14400000.0,us_market,31.684998,0.58861226,53.83 - 88.19,-2.675003,-0.030332271,55.416595,2.78,4.51605,4.15776,20.567564,5.5298004,0.06913529,11.587601,0.15674298,15.0,1.8 - Buy,False,Cisco Systems,1.3064
CSX,500 Water Street,Jacksonville,32202,United States,904 359 3200,https://www.csx.com,Railroads,railroads,Industrials,industrials,"CSX Corporation, together with its subsidiaries, provides rail-based freight transportation services in the United States and Canada. It operates through two segments: rail and trucking. The company offers rail services; and transportation of intermodal containers and trailers, as well as other transportation services, such as rail-to-truck transfers and bulk commodity operations. It also transports chemicals, agricultural and food products, minerals, automotive, forest products, fertilizers, and metals and equipment; and coal, coke, and iron ore to electricity-generating power plants, steel manufacturers, and industrial plants, as well as exports coal to deep-water port facilities. In addition, the company provides intermodal services through a network of approximately 30 terminals transporting manufactured consumer goods in containers; and drayage services, including the pickup and delivery of intermodal shipments. It serves the automotive industry with distribution centers and storage locations, as well as connects non-rail served customers through transferring products, such as plastics and ethanol from rail to trucks. The company operates approximately 20,000 route mile rail network, which serves various population centers in 26 states east of the Mississippi River, the District of Columbia, and the Canadian provinces of Ontario and Quebec, as well as owns 3400 locomotives. It serves production and distribution facilities through track connections. CSX Corporation was incorporated in 1978 and is headquartered in Jacksonville, Florida.",23000.0,9.0,6.0,2.0,5.0,1775001600.0,http://investors.csx.com/phoenix.zhtml?c=92932&p=irol-irhome,0.56,1.31,1772150400.0,0.3377,1.31,1.246,28.282469,20.817501,3755526.0,13354086.0,11047340.0,81011990528.0,27.0,43.605,43.35,0.335648,5.7487926,40.9848,36.64245,0.52,0.012172284,USD,98276270080.0,0.20501,1855893472.0,1859992927.0,40406219.0,32051751.0,1772150400.0,1774915200.0,0.0217,0.00238,0.80407995,3.16,0.0218,1859992927.0,7.074,6.157054,1767139200.0,1798675200.0,1767139200.0,-0.018,2888999936.0,1.54,2.09223,3:1,1624924800.0,6.974,15.298,,0.36506534,0.14,1772150400.0,EQUITY,43.555,buy,24.0,675000000.0,0.363,6424000000.0,19505999872.0,0.63,0.814,14092000256.0,148.222,7.536,0.0686,0.22511,6424000000.0,970499968.0,4613000192.0,-0.004,-0.009,0.45586,0.45586,0.32724997,USD,US,Equity,Nasdaq Real Time Price,HIGH,CSX Corporation,CSX Corporation,,NasdaqGS,13354086.0,NMS,America/New_York,EDT,-14400000.0,us_market,16.555,0.61314815,27.0 - 43.605,-0.049999237,-0.00114664,55.571735,1.54,2.09223,1.84424,23.616776,2.5702019,0.062711105,6.912552,0.18864875,15.0,1.9 - Buy,False,CSX,3.6497
CTAS,6800 Cintas Boulevard,Cincinnati,45262-5737,United States,513 459 1200,https://www.cintas.com,Specialty Business Services,specialty-business-services,Industrials,industrials,"Cintas Corporation engages in the provision of corporate identity uniforms and related business services primarily in the United States, Canada, and Latin America. It operates through Uniform Rental and Facility Services, First Aid and Safety Services, and All Other segments. The company rents and services uniforms and other garments, including flame resistant clothing, mats, mops and shop towels, and other ancillary items; and provides restroom cleaning services and supplies, as well as sells uniforms. In addition, the company offers first aid and safety services, and fire protection products and services. It provides its products and services through its distribution network and local delivery routes, or local representatives to small service and manufacturing companies, as well as major corporations. The company was founded in 1968 and is based in Cincinnati, Ohio. Cintas Corporation was formerly a subsidiary of Cintas Corporation.",48300.0,7.0,10.0,8.0,9.0,1775001600.0,http://www.cintas.com/company/investor_information/highlights.aspx,1.8,1.01,1778803200.0,0.3671,0.91,1.006,37.911392,33.125217,358444.0,2246408.0,2112940.0,71895654400.0,165.6,229.24,229.24,0.237847,6.5198407,188.037,196.68045,1.74,0.009801712,USD,73758449664.0,0.17568001,342078488.0,400087119.0,9975764.0,8192237.0,1772150400.0,1774915200.0,0.0249,0.14974,0.67635,3.8,0.033299997,400087119.0,11.971,15.011277,1748649600.0,1780185600.0,1772236800.0,0.084,1930966016.0,4.74,5.42487,4:1,1726099200.0,6.689,25.407,,0.36506534,0.45,1770940800.0,EQUITY,179.7,buy,17.0,183204000.0,0.458,2903095040.0,2918187008.0,0.95,1.983,11027210240.0,60.943,27.426,0.15942,0.41303003,5553490944.0,1508147456.0,2207493888.0,0.097,0.089,0.50361997,0.26327,0.23224,USD,US,Equity,Nasdaq Real Time Price,HIGH,Cintas Corporation,Cintas Corporation,,NasdaqGS,2246408.0,NMS,America/New_York,EDT,-14400000.0,us_market,14.099991,0.08514487,165.6 - 229.24,-49.54001,-0.21610542,-11.421585,4.74,5.42487,4.89494,36.71138,-8.337006,-0.04433705,-16.980453,-0.086335234,15.0,2.4 - Buy,False,Cintas,2.8218
CTL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,,,,,,,,,,,,,,,,,,,,,,,,US,,,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
CTSH,300 Frank West Burr Boulevard,Teaneck,07666,United States,201 801 0233,https://www.cognizant.com,Information Technology Services,information-technology-services,Technology,technology,"Cognizant Technology Solutions Corporation, a professional services company, provides consulting and technology, and outsourcing services in North America, Europe, and internationally. It operates through four segments: Financial Services; Health Sciences; Products and Resources; and Communications, Media and Technology. The company provides services including artificial intelligence (AI) and other technology services and solutions, consulting, application development, systems integration, quality engineering and assurance, engineering research and development, application maintenance, infrastructure, security, and business process services and automation. It also offers AI-led automation, which includes advisory, and process and IT automation solutions designed to simplify and accelerate automation adoption; business process outsourcing services, which help deliver business outcomes including revenue growth, increased customer and employee satisfaction, and cost savings; and Cognizant Moment, a digital experience service that uses AI to reimagine customer experiences and engineer strategies aimed at driving growth. In addition, the company develops, licenses, implements, and supports proprietary and third-party software products and platforms; and develops industry-specific products and services. It offers solution to healthcare providers and payers, life sciences companies, banking, capital markets, payments and insurance companies, manufacturers, automakers, retailers, consumer goods, travel and hospitality, communications, media and entertainment, education, information services, and technology companies, as well as businesses providing logistics, energy, and utility services. The company has a strategic partnership with Uniphore Technologies Inc. for the development of AI solutions that combine small language models and AI agents. Cognizant Technology Solutions Corporation was incorporated in 1988 and is headquartered in Teaneck, New Jersey.",351600.0,2.0,5.0,2.0,2.0,1775001600.0,http://investors.cognizant.com/,1.32,2.18,1771372800.0,0.2719,1.55,0.976,13.436404,9.990869,1422245.0,6724608.0,5129890.0,29571749888.0,57.39,87.03,93.47,0.145833,1.4009736,63.8604,72.2411,1.26,0.020816125,USD,28208285696.0,0.10564999,477089562.0,478246920.0,33126617.0,31578912.0,1772150400.0,1774915200.0,0.069299996,0.00113,1.04407,5.76,0.0911,482646474.0,31.347,1.954573,1767139200.0,1798675200.0,1767139200.0,0.187,2230000128.0,4.56,6.1326,2:1,1394409600.0,1.336,7.357,,0.36506534,0.33,1771372800.0,EQUITY,61.27,buy,26.0,1914000000.0,4.002,3833999872.0,1174000000.0,1.736,2.137,21108000768.0,7.819,43.254,0.102290004,0.15158,7117000192.0,1927250048.0,2883000064.0,0.221,0.049,0.33717,0.18164,0.15995,USD,US,Equity,Nasdaq Real Time Price,HIGH,Cognizant Technology Solutions ,Cognizant Technology Solutions Corporation,,NasdaqGS,6724608.0,NMS,America/New_York,EDT,-14400000.0,us_market,3.880001,0.06760762,57.39 - 87.03,-25.759998,-0.29598987,-11.0637665,4.56,6.1326,5.65235,10.83974,-2.5904007,-0.04056349,-10.971096,-0.15186779,15.0,2.2 - Buy,False,Cognizant Technology,0.9916
CTVA,9330 Zionsville Road,Indianapolis,46268,United States,833 267 8382,https://www.corteva.com,Agricultural Inputs,agricultural-inputs,Basic Materials,basic-materials,"Corteva, Inc. operates in the agriculture business. The company operates through two segments, Seed and Crop Protection. The Seed segment develops and supplies advanced germplasm and traits that produce optimum yield for farms. It offers trait technologies that enhance resistance to weather, disease, insects, and herbicides used to control weeds, as well as food and nutritional characteristics. This segment also provides digital solutions that assist farmer decision-making with a view to optimize product selection, and maximize yield and profitability. The Crop Protection segment offers products that protect against weeds, insects and other pests, and diseases, as well as enhances crop health above and below ground through nitrogen management and seed-applied technologies. This segment provides herbicides, insecticides, nitrogen stabilizers, and pasture and range management herbicides. It serves agricultural input industry. The company operates in the United States, Canada, Latin America, the Asia Pacific, Europe, the Middle East, and Africa. Corteva, Inc. was founded in 1802 and is headquartered in Indianapolis, Indiana.",21500.0,6.0,5.0,5.0,6.0,1775001600.0,,0.72,0.89,1772409600.0,0.4,1.07,0.68,45.614285,19.711967,1452592.0,4207172.0,3506280.0,53684228096.0,58.58,85.63,85.63,20.38,3.085123,79.1384,71.44955,0.71,0.008748151,USD,53289046016.0,0.06287,670849415.0,671356502.0,13931675.0,12811103.0,1772150400.0,1774915200.0,0.0208,0.0013,0.88029,3.18,0.023599999,672524000.0,35.92,2.2222996,1767139200.0,1798675200.0,1767139200.0,,1192999936.0,1.75,4.04957,,,3.062,14.027,,0.36506534,0.18,1772409600.0,EQUITY,79.825,buy,21.0,4529999872.0,6.736,3799000064.0,2995000064.0,0.902,1.43,17400999936.0,12.282,25.59,0.03878,0.04974,8229000192.0,2929999872.0,3406000128.0,,-0.017,0.4729,0.21832001,0.056009997,USD,US,Equity,Nasdaq Real Time Price,HIGH,"Corteva, Inc.","Corteva, Inc.",,NYSE,4207172.0,NYQ,America/New_York,EDT,-14400000.0,us_market,21.244995,0.36266634,58.58 - 85.63,-5.8050003,-0.06779167,37.280106,1.75,4.04957,3.6662,21.773226,0.68659973,0.008675937,8.37545,0.11722188,15.0,1.8 - Buy,False,Corteva,1.1771
CTXS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,,,,,,,,,,,,,,,,,,,,,,,,US,,,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
CVS,One CVS Drive,Woonsocket,02895,United States,401 765 1500,https://www.cvshealth.com,Healthcare Plans,healthcare-plans,Healthcare,healthcare,"CVS Health Corporation provides health solutions in the United States. The company operates through Health Care Benefits, Health Services, and Pharmacy & Consumer Wellness segments. The Health Care Benefits segment offers traditional, voluntary, and consumer-directed health insurance products and related services, including medical, pharmacy, dental and behavioral health plans, medical management capabilities, Medicare Advantage and Medicare Supplement plans, PDPS and Medicaid health care management services. It serves employer groups, individuals, college students, part-time and hourly workers, health plans, health care providers, governmental units, government-sponsored plans, labor groups, and expatriates. The Health Services segment offers pharmacy benefit management solutions, including plan design and administration, formulary management, retail pharmacy network management, specialty and mail order pharmacy, clinical, disease management, medical spend management services, pharmacy and other administrative services. It serves employers, insurance companies, unions, government employee groups, health plans, PDPS, Medicaid managed care plans, CMS, plans offered on public health insurance, and other sponsors of health benefit plans. The Pharmacy & Consumer Wellness segment sells prescription and over-the-counter drugs, consumer health and beauty products, personal care products, and other general merchandise products. This segment also distributes prescription drugs; and provides related pharmacy consulting and other ancillary services to care facilities and other care settings. It operates online retail pharmacy websites, retail specialty pharmacy stores, compounding pharmacies and branches for infusion and enteral nutrition services. The company was formerly known as CVS Caremark Corporation and changed its name to CVS Health Corporation in September 2014. CVS Health Corporation was founded in 1963 and is headquartered in Woonsocket, Rhode Island.",219000.0,7.0,6.0,1.0,9.0,1775001600.0,http://phx.corporate-ir.net/phoenix.zhtml?c=99533&p=irol-irhome,2.66,3.46,1776902400.0,1.9137,3.21,0.505,55.69065,9.461001,2148209.0,8846727.0,7825790.0,99208994816.0,58.35,85.15,113.65,0.296875,0.24812546,76.0064,74.86265,2.66,0.03463993,USD,167213088768.0,0.00442,1269628475.0,1281604403.0,19889083.0,17582146.0,1772150400.0,1774915200.0,0.0155,0.00068000006,0.90275,2.56,0.0156,1281604403.0,59.177,1.3081096,1767139200.0,1798675200.0,1767139200.0,0.79,1768000000.0,1.39,8.18201,2:1,1118102400.0,0.418,11.433,,0.36506534,0.665,1769040000.0,EQUITY,77.41,strong_buy,26.0,10597999616.0,8.33,14625000448.0,79949996032.0,0.568,0.842,399833989120.0,106.06,315.575,0.02471,0.022869999,53128998912.0,5929500160.0,10638999552.0,0.766,0.084,0.13288,0.03658,0.01572,USD,US,Equity,Nasdaq Real Time Price,HIGH,CVS Health Corporation,CVS Health Corporation,,NYSE,8846727.0,NYQ,America/New_York,EDT,-14400000.0,us_market,19.060005,0.32664964,58.35 - 85.15,-7.739998,-0.09089839,17.830288,1.39,8.18201,7.16374,10.805808,1.4036026,0.0184669,2.5473557,0.03402706,15.0,1.5 - Strong Buy,False,CVS Health,0.2225
CVX,1400 Smith Street,Houston,77002-7327,United States,832 854 1000,https://www.chevron.com,Oil & Gas Integrated,oil-gas-integrated,Energy,energy,"Chevron Corporation, through its subsidiaries, engages in the integrated energy and chemicals operations in the United States and internationally. It operates through Upstream, Downstream, and All Other segments. The Upstream segment engages in the exploration for, development, production, and transportation of crude oil and natural gas; processing, liquefaction, transportation, and regasification of liquefied natural gas; transportation of crude oil through pipelines; transportation, storage, and marketing of natural gas; carbon capture and storage; and operation of a gas-to-liquids plant. Its Downstream segment refines crude oil into petroleum products; markets crude oil, refined products, and lubricants; manufactures and markets renewable fuels; transports crude oil and refined products through pipeline, marine vessel, motor equipment, and rail car; and manufactures and markets commodity petrochemicals, plastics for industrial uses, and fuel and lubricant additives. The All Other segment engages in cash management and debt financing; insurance; real estate; and technology activities. It has operations in North America, South America, Europe, Africa, Asia, and Australia. The company was formerly known as ChevronTexaco Corporation and changed its name to Chevron Corporation in May 2005. Chevron Corporation was founded in 1879 and is headquartered in Houston, Texas.",43039.0,8.0,4.0,2.0,2.0,1775001600.0,http://investor.chevron.com/phoenix.zhtml?c=130102&p=irol-irhome,7.12,3.78,1771286400.0,1.0317,4.07,0.587,27.23112,15.9677515,8534253.0,12749196.0,11220960.0,359079608320.0,132.33,214.71,214.71,2.375,1.9446077,191.8588,164.5149,6.84,0.036353976,USD,421603803136.0,0.06661,1853852843.0,1991898801.0,21018699.0,21592025.0,1772150400.0,1774915200.0,0.0106,0.070250005,0.68152,1.39,0.0106,1991898801.0,94.155,1.914609,1767139200.0,1798675200.0,1767139200.0,-0.145,12298999808.0,6.62,11.28963,2:1,1095033600.0,2.283,11.204,,0.36506534,1.78,1771286400.0,EQUITY,180.27,buy,24.0,6296999936.0,3.156,37631000576.0,46742999040.0,0.724,1.155,184654004224.0,24.323,99.867,0.03794,0.07231,77362003968.0,13200749568.0,33938999296.0,-0.238,-0.082,0.41896,0.20379,0.09462,USD,US,Equity,Nasdaq Real Time Price,HIGH,Chevron Corporation,Chevron Corporation,,NYSE,12749196.0,NYQ,America/New_York,EDT,-14400000.0,us_market,47.940002,0.36227614,132.33 - 214.71,-34.440002,-0.1604024,40.69394,6.62,11.28963,10.87795,16.572058,-11.588791,-0.06040271,15.755112,0.09576709,15.0,1.9 - Buy,False,Chevron,1.1597
CXO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,,,,,,,,,,,,,,,,,,,,,,,,US,,,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,
D,600 East Canal Street,Richmond,23219,United States,804 819 2284,https://www.dominionenergy.com,Utilities - Regulated Electric,utilities-regulated-electric,Utilities,utilities,"Dominion Energy, Inc. provides regulated electricity and natural gas services in the United States. It operates through Dominion Energy Virginia, Dominion Energy South Carolina, and Contracted Energy segments. The Dominion Energy Virginia segment engages in the generation, distribution, and transmission of electricity to approximately 2.8 million residential, commercial, industrial, and governmental customers in Virginia and North Carolina. The Dominion Energy South Carolina segment generates, transmits, and distributes electricity to approximately 0.8 million customers in the central, southern, and southwestern portions of South Carolina; and distributes natural gas to approximately 0.5 million residential, commercial, and industrial customers in South Carolina. The Contracted Energy segment is involved in the nonregulated long-term contracted renewable electric generation fleet and renewable natural gas facilities. As of December 31, 2025, the company's portfolio of assets included approximately 30.7 GW of electric generating capacity, 10,800 miles of electric transmission lines, and 80,400 miles of electric distribution lines. The company was formerly known as Dominion Resources, Inc. Dominion Energy, Inc. was incorporated in 1983 and is headquartered in Richmond, Virginia.",15200.0,6.0,5.0,6.0,4.0,1775001600.0,https://www.dom.com/investors/index.jsp,2.67,4.27,1772150400.0,0.76949996,4.45,0.658,18.023054,16.398214,1477428.0,5135722.0,3945440.0,54970454016.0,51.42,67.57,90.89,3.083333,3.3303316,62.9184,60.60475,2.67,0.042733677,USD,110123524096.0,0.18163,877054423.0,878964717.0,25081746.0,26408800.0,1772150400.0,1774915200.0,0.028499998,0.00125,0.84027,5.8,0.0317,878964717.0,31.959,1.9568824,1767139200.0,1798675200.0,1767139200.0,3.231,2968000000.0,3.47,3.81383,2:1,1195516800.0,6.672,13.577,,0.36506534,0.668,1772150400.0,EQUITY,62.54,hold,16.0,265000000.0,0.302,8111000064.0,50156998656.0,0.352,0.773,16506000384.0,150.094,19.326,0.03108,0.09741,8090999808.0,-9005875200.0,5360999936.0,3.655,0.204,0.49019,0.4914,0.22038001,USD,US,Equity,Nasdaq Real Time Price,HIGH,"Dominion Energy, Inc.","Dominion Energy, Inc.",,NYSE,5135722.0,NYQ,America/New_York,EDT,-14400000.0,us_market,11.120003,0.21625833,51.42 - 67.57,-5.029999,-0.0744413,20.015371,3.47,3.81383,3.59234,17.409266,-0.3783989,-0.006014121,1.9352493,0.0319323,15.0,2.8 - Hold,False,Dominion Energy,2.7587
